kernel/C,device/C,x/I,y/I,z/I,mb/F,time/F
SquareArray,AmdRuntime - AMD Firepro W9100,256,1,1,12.0,14.7760000229
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,22.0,26.4640007019
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,29.6112003326,35.0589981079
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,21.0,6727.35009766
Array3dAverage,AmdRuntime - AMD Firepro W9100,16,16,1,3.375,1.53100001812
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,64,4,1,8.0,768.789001465
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,8,1.0,3.09800004959
Empty,AmdRuntime - AMD Firepro W9100,64,1,1,36.0,0.819000005722
NoMemory,AmdRuntime - AMD Firepro W9100,4,1,1,8.0,0.513000011444
NoMemory,AmdRuntime - AMD Firepro W9100,4,1,1,4.0,0.425000011921
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,4,64,1,41.9900016785,3842.95996094
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,16.0,684617.0
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,23.0,69734.3984375
NoMemory,AmdRuntime - AMD Firepro W9100,8,1,1,12.0,0.439999997616
MatrixTranspose,AmdRuntime - AMD Firepro W9100,16,8,1,37.0,45.0559997559
FloydWarshall,AmdRuntime - AMD Firepro W9100,32,8,1,33.0,117014.0
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,256,1,1,38.0083007812,3683.61010742
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,8,32,1,11.997300148,1042.90002441
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,43.0,13508.9003906
Reduction,AmdRuntime - AMD Firepro W9100,256,1,1,38.0,19.454000473
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,8,8,1,5.0,626.059997559
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,39.0,12512.5
Array3dAverage,AmdRuntime - AMD Firepro W9100,8,4,8,38.4434013367,13.2740001678
FluidSimulation,AmdRuntime - AMD Firepro W9100,8,1,1,20.0,710.5
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,26.0,31.2439994812
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,256,1,28.007900238,2535.81005859
MatrixTranspose,AmdRuntime - AMD Firepro W9100,64,2,1,16.0,18.8840007782
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,25.0,5861.5
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,4.0,1202.86999512
Array3dAverage,AmdRuntime - AMD Firepro W9100,64,1,4,8.0,10.2299995422
Reduction,AmdRuntime - AMD Firepro W9100,128,1,1,22.0,15.0100002289
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,8,32,1,3.99915003777,391.390014648
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,37.0,10588.7998047
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,11.0,3651.55004883
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,17.7667999268,21.5069999695
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,22.0,26.6140003204
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,27.8526000977,33.0929985046
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,4,19.410900116,12.2469997406
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,3.93028998375,5.8189997673
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,28.0,2093990.0
MatrixTranspose,AmdRuntime - AMD Firepro W9100,64,2,1,33.0,41.0929985046
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,20.0,24.3980007172
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,19.0,53150.1015625
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,35.3278999329,21.6149997711
Array3dAverage,AmdRuntime - AMD Firepro W9100,8,8,4,13.3964996338,4.79099988937
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,9.0,3039.88989258
Array3dAverage,AmdRuntime - AMD Firepro W9100,16,1,16,11.3906002045,4.23199987411
Array3dAverage,AmdRuntime - AMD Firepro W9100,16,1,8,5.35937976837,1.50499999523
FloydWarshall,AmdRuntime - AMD Firepro W9100,64,4,1,1.0,1920.33996582
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,256,1,6.01610994339,604.039978027
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,33.0,10424.7998047
SquareArray,AmdRuntime - AMD Firepro W9100,256,1,1,34.0,40.3300018311
MatrixTranspose,AmdRuntime - AMD Firepro W9100,4,32,1,7.0,9.82900047302
Array3dAverage,AmdRuntime - AMD Firepro W9100,8,4,8,9.59570026398,6.44799995422
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,256,1,32.0,2861.82006836
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,128,1,25.9988002777,2347.05004883
Reduction,AmdRuntime - AMD Firepro W9100,32,1,1,30.0,14.0129995346
FluidSimulation,AmdRuntime - AMD Firepro W9100,8,1,1,36.0,1222.59997559
SquareArray,AmdRuntime - AMD Firepro W9100,256,1,1,4.0,5.89300012589
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,12.0,14.7510004044
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,38.0,45.0369987488
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,28.0,33.158000946
Reduction,AmdRuntime - AMD Firepro W9100,256,1,1,2.0,2.87400007248
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,40.0,4000020.0
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,16.0,38251.1992188
Reduction,AmdRuntime - AMD Firepro W9100,64,1,1,24.0,13.0059995651
MatrixTranspose,AmdRuntime - AMD Firepro W9100,8,32,1,31.0,36.9570007324
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,41.7368011475,50.0340003967
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,4,40.6189002991,13.6639995575
Array3dAverage,AmdRuntime - AMD Firepro W9100,16,16,1,34.3280982971,11.4200000763
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,21.5139007568,13.5530004501
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,2,36.3469009399,12.4370002747
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,256,1,0.00195311999414,0.218999996781
Array3dAverage,AmdRuntime - AMD Firepro W9100,32,8,1,27.0,9.0
Reduction,AmdRuntime - AMD Firepro W9100,16,1,1,8.0,5.38800001144
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,256,1,10.0198001862,968.580993652
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,36.0,3459790.0
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,14.0,17.093000412
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,6.0,7.8109998703
MatrixTranspose,AmdRuntime - AMD Firepro W9100,128,1,1,29.0,34.7340011597
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,37.0,11660.0996094
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,33.0,9104.58984375
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,26.0,31.2600002289
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,11.8718996048,14.6490001678
FloydWarshall,AmdRuntime - AMD Firepro W9100,128,2,1,4.0,5015.81005859
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,20.0,1069140.0
FloydWarshall,AmdRuntime - AMD Firepro W9100,64,4,1,7.0,13774.7998047
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,19.7513999939,23.7129993439
Reduction,AmdRuntime - AMD Firepro W9100,64,1,1,40.0,17.9090003967
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,23.0,7344.87011719
Reduction,AmdRuntime - AMD Firepro W9100,64,1,1,18.0,8.64200019836
FloydWarshall,AmdRuntime - AMD Firepro W9100,128,2,1,17.0,45432.8984375
NoMemory,AmdRuntime - AMD Firepro W9100,4,1,1,28.0,0.29699999094
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,17.0,5497.70996094
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,33.8353996277,40.0960006714
MatrixTranspose,AmdRuntime - AMD Firepro W9100,64,4,1,4.0,5.78499984741
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,27.0,6789.37988281
FluidSimulation,AmdRuntime - AMD Firepro W9100,8,1,1,12.0,459.053009033
Reduction,AmdRuntime - AMD Firepro W9100,32,1,1,28.0,15.1929998398
LUDecomposition,AmdRuntime - AMD Firepro W9100,32,8,1,3.0,221.972000122
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,25.0,7963.14990234
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,5.0,9087.45996094
FWT,AmdRuntime - AMD Firepro W9100,128,1,1,4.0,47.3829994202
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,32,8,1,23.0,5115.25976562
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,4.0,42958.8007812
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,30.0,36.0289993286
LUDecomposition,AmdRuntime - AMD Firepro W9100,128,2,1,28.0,2990.5300293
Array3dAverage,AmdRuntime - AMD Firepro W9100,8,4,4,18.0879001617,3.64100003242
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,64,4,1,4.0,343.946990967
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,24.0,28.5690002441
Empty,AmdRuntime - AMD Firepro W9100,16,1,1,40.0,0.716000020504
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,4.0,5.35099983215
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,2,3.81469988823,3.28500008583
Reduction,AmdRuntime - AMD Firepro W9100,64,1,1,20.0,11.7869997025
FloydWarshall,AmdRuntime - AMD Firepro W9100,64,4,1,41.0,160452.0
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,35.8349990845,42.4420013428
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,41.0,12894.2001953
Empty,AmdRuntime - AMD Firepro W9100,256,1,1,44.0,0.699000000954
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,128,2,1,24.0102996826,2200.14990234
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,32,2,1,14.0284004211,1368.93994141
FloydWarshall,AmdRuntime - AMD Firepro W9100,128,2,1,9.0,19120.6992188
NoMemory,AmdRuntime - AMD Firepro W9100,16,1,1,24.0,0.493999987841
VectorAdd,AmdRuntime - AMD Firepro W9100,256,1,1,8.0,9.7889995575
Reduction,AmdRuntime - AMD Firepro W9100,32,1,1,16.0,11.5830001831
FluidSimulation,AmdRuntime - AMD Firepro W9100,8,1,1,40.0,1225.55004883
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,4,16,1,1.0,123.182998657
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,8,16,1,36.0,9459.28027344
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,37.9118995667,45.5429992676
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,31.0,9808.91992188
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,24.0,1539000.0
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,21.8785991669,26.218000412
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,36.0,127331.0
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,1.0,601.398986816
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,30.0,35.9379997253
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,8,8,1,2.0,206.235992432
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,256,1,34.0312004089,3326.66992188
Empty,AmdRuntime - AMD Firepro W9100,8,1,1,16.0,0.869000017643
NoMemory,AmdRuntime - AMD Firepro W9100,16,1,1,16.0,0.601000010967
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,37.3852996826,23.6259994507
LUDecomposition,AmdRuntime - AMD Firepro W9100,64,4,1,38.0,4514.64990234
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,64,2,1,30.0312004089,2980.72998047
LUDecomposition,AmdRuntime - AMD Firepro W9100,16,16,1,42.0,5202.81982422
Reduction,AmdRuntime - AMD Firepro W9100,256,1,1,10.0,4.28900003433
FWT,AmdRuntime - AMD Firepro W9100,128,1,1,32.0,420.509002686
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,128,2,1,9.0,1477.68005371
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,15.9197998047,19.2900009155
MatrixTranspose,AmdRuntime - AMD Firepro W9100,8,16,1,11.0,14.3070001602
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,4,16.8264007568,5.98799991608
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,31.4423007965,19.1760005951
Reduction,AmdRuntime - AMD Firepro W9100,256,1,1,4.0,5.29899978638
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,8.0,171571.0
MatrixTranspose,AmdRuntime - AMD Firepro W9100,4,32,1,1.0,3.5759999752
Array3dAverage,AmdRuntime - AMD Firepro W9100,8,4,8,23.7637004852,28.5419998169
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,33.3474006653,21.4330005646
FluidSimulation,AmdRuntime - AMD Firepro W9100,32,1,1,28.0,842.543029785
SquareArray,AmdRuntime - AMD Firepro W9100,256,1,1,18.0,21.8689994812
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,8,8,1,21.9971008301,1963.82995605
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,32.0,39.3510017395
Convolution,AmdRuntime - AMD Firepro W9100,64,1,1,29.0,9192.36035156
Reduction,AmdRuntime - AMD Firepro W9100,256,1,1,42.0,18.5
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,20.0,23.936000824
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,9.80893039703,12.373000145
FloydWarshall,AmdRuntime - AMD Firepro W9100,1,128,1,29.0,96891.5
LUDecomposition,AmdRuntime - AMD Firepro W9100,2,128,1,24.0,2404.86010742
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,43.4518013,51.4319992065
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,4,4,25.3474006653,15.6590003967
LUDecomposition,AmdRuntime - AMD Firepro W9100,64,4,1,26.0,2691.15991211
SquareArray,AmdRuntime - AMD Firepro W9100,256,1,1,8.0,9.86499977112
LUDecomposition,AmdRuntime - AMD Firepro W9100,16,2,1,30.0,3223.62011719
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,36.0,42.9230003357
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,128,2,1,18.0,1740.94995117
FloydWarshall,AmdRuntime - AMD Firepro W9100,64,2,1,13.0,31284.1992188
FloydWarshall,AmdRuntime - AMD Firepro W9100,32,8,1,31.0,106818.0
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,31.9116001129,37.8129997253
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,40.0,47.1769981384
LUDecomposition,AmdRuntime - AMD Firepro W9100,8,32,1,14.0,1174.23999023
Array3dAverage,AmdRuntime - AMD Firepro W9100,4,2,4,32.3855018616,10.984000206
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,16.0,4883.77978516
NoMemory,AmdRuntime - AMD Firepro W9100,128,1,1,40.0,0.448000013828
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,10.0,12.3900003433
Reduction,AmdRuntime - AMD Firepro W9100,64,1,1,34.0,18.7450008392
NoMemory,AmdRuntime - AMD Firepro W9100,256,1,1,36.0,0.586000025272
MatrixTranspose,AmdRuntime - AMD Firepro W9100,64,4,1,5.0,7.74900007248
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,38.0,44.8429985046
LUDecomposition,AmdRuntime - AMD Firepro W9100,32,1,1,32.0,3559.36010742
Empty,AmdRuntime - AMD Firepro W9100,8,1,1,12.0,0.745999991894
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,7.0,2426.10009766
Array3dAverage,AmdRuntime - AMD Firepro W9100,16,1,16,20.7968997955,7.49800014496
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,24.0,29.0890007019
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,2.0,3.46099996567
Array3dAverage,AmdRuntime - AMD Firepro W9100,32,1,8,15.625,10.0539999008
VectorAdd,AmdRuntime - AMD Firepro W9100,256,1,1,16.0,18.8040008545
Reduction,AmdRuntime - AMD Firepro W9100,128,1,1,44.0,19.920999527
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,27.0,8576.69042969
LUDecomposition,AmdRuntime - AMD Firepro W9100,128,2,1,8.0,541.04699707
Empty,AmdRuntime - AMD Firepro W9100,32,1,1,4.0,1.65299999714
MatrixTranspose,AmdRuntime - AMD Firepro W9100,8,16,1,25.0,30.1399993896
Reduction,AmdRuntime - AMD Firepro W9100,64,1,1,6.0,5.01700019836
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,12.0,384977.0
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,42.0,50.266998291
NoMemory,AmdRuntime - AMD Firepro W9100,16,1,1,32.0,0.379000008106
SquareArray,AmdRuntime - AMD Firepro W9100,256,1,1,32.0,38.6380004883
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,11.0,1970.40002441
LUDecomposition,AmdRuntime - AMD Firepro W9100,64,4,1,20.0,1851.68994141
MatrixTranspose,AmdRuntime - AMD Firepro W9100,16,8,1,36.0,42.702999115
Empty,AmdRuntime - AMD Firepro W9100,2,1,1,32.0,0.702000021935
FWT,AmdRuntime - AMD Firepro W9100,128,1,1,8.0,97.3980026245
LUDecomposition,AmdRuntime - AMD Firepro W9100,8,32,1,9.0,728.281005859
FluidSimulation,AmdRuntime - AMD Firepro W9100,4,1,1,4.0,135.244003296
LUDecomposition,AmdRuntime - AMD Firepro W9100,256,1,1,15.0,1405.20996094
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,41.0,13688.4003906
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,2,64,1,44.0186004639,3979.80004883
MatrixTranspose,AmdRuntime - AMD Firepro W9100,16,8,1,21.0,25.5760002136
Array3dAverage,AmdRuntime - AMD Firepro W9100,8,4,8,30.5175991058,9.86900043488
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,43.0,13510.4003906
NBody,AmdRuntime - AMD Firepro W9100,64,1,1,32.0,2734260.0
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,21.0,4577.31005859
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,13.0,4265.66992188
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,16,16,1,16.0,2742.89990234
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,39.5210990906,47.2980003357
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,40.0,47.375
LUDecomposition,AmdRuntime - AMD Firepro W9100,64,4,1,44.0,5607.62988281
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,64,4,1,29.0,8156.08007812
LUDecomposition,AmdRuntime - AMD Firepro W9100,16,16,1,35.0,4239.00976562
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,21.0,61049.3984375
MatrixMultiplication,AmdRuntime - AMD Firepro W9100,8,16,1,31.0,8666.29980469
Array3dAverage,AmdRuntime - AMD Firepro W9100,32,2,4,42.875,26.2719993591
Empty,AmdRuntime - AMD Firepro W9100,2,1,1,20.0,0.839999973774
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,5.0,1813.76000977
LUDecomposition,AmdRuntime - AMD Firepro W9100,64,4,1,6.0,379.166992188
MatrixTranspose,AmdRuntime - AMD Firepro W9100,128,1,1,19.0,23.311000824
MatrixTranspose,AmdRuntime - AMD Firepro W9100,128,1,1,9.0,12.029999733
Reduction,AmdRuntime - AMD Firepro W9100,128,1,1,26.0,13.0649995804
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,10.0,12.4160003662
Convolution,AmdRuntime - AMD Firepro W9100,256,1,1,36.0,11044.5996094
VectorAdd,AmdRuntime - AMD Firepro W9100,256,1,1,34.0,40.283000946
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,27.0,87569.796875
Reduction,AmdRuntime - AMD Firepro W9100,256,1,1,12.0,8.95600032806
FluidSimulation,AmdRuntime - AMD Firepro W9100,8,1,1,32.0,984.091003418
Empty,AmdRuntime - AMD Firepro W9100,8,1,1,8.0,0.773999989033
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,128,2,1,40.0093002319,3977.72998047
FloydWarshall,AmdRuntime - AMD Firepro W9100,256,1,1,37.0,138080.0
LUDecomposition,AmdRuntime - AMD Firepro W9100,8,32,1,22.0,2122.97998047
LUDecomposition,AmdRuntime - AMD Firepro W9100,1,256,1,18.0,1623.18005371
FWT,AmdRuntime - AMD Firepro W9100,128,1,1,16.0,201.908004761
FWT,AmdRuntime - AMD Firepro W9100,256,1,1,2.0,23.3320007324
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,1,256,1,15.9966001511,1495.76000977
VectorAdd,AmdRuntime - AMD Firepro W9100,128,1,1,44.0,52.5730018616
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,14.0,17.0709991455
SquareArray,AmdRuntime - AMD Firepro W9100,128,1,1,16.0,18.8059997559
MonteCarloAsian,AmdRuntime - AMD Firepro W9100,16,16,1,35.9922981262,3560.45996094
Array3dAverage,AmdRuntime - AMD Firepro W9100,1,1,1,25.7539997101,30.7119998932
SquareArray,AmdRuntime - AMD Firepro W9100,64,1,1,2.0,3.4509999752
Array3dAverage,AmdRuntime - AMD Firepro W9100,2,2,2,17.4496002197,11.013999939
