device/C,kernel/C,workDimension/C,width/F,height/F,maskWidth/F,maskHeight/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,5.695,0.002,454.991,1.889,0.06
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.017,0.002,452.07,1.052,0.147
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.141,0.002,450.381,1.036,0.137
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8,1,1,2.863,0.001,448.965,1.021,0.117
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,16,1,1,2.7,0.001,446.651,1.057,0.145
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,32,1,1,2.787,0.003,448.655,1.033,0.137
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,64,1,1,2.726,0.002,446.78,1.058,0.131
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,128,1,1,2.784,0.001,446.997,1.002,0.134
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,256,1,1,2.899,0.002,447.876,0.984,0.132
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,512,1,1,2.675,0.001,447.578,0.989,0.14
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1024,1,1,2.848,0.001,450.717,1.01,0.129
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,5.582,0.002,456.517,1.974,0.071
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,2.919,0.001,453.27,1.035,0.148
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,2.705,0.001,451.374,1.005,0.14
